tx_count,avg_value,max_value,median_gas_price,unique_receivers,unique_senders,tx_per_day,in_tx_count,out_tx_count,in_out_ratio,self_tx_ratio,max_tx_in_1h,max_tx_in_5min,tx_time_std,zero_value_tx_ratio,high_value_tx_ratio,short_time_repeated_tx
1,1e-07,1e-07,0.002734481,1,1,0.0,0,1,0.0,0.0,1,1,,0.0,0.0,0.0
510,0.0,0.0,0.0030208935,1,1,835.9069696854726,0,510,0.0,0.0,86,16,172.91741221334647,1.0,0.0,0.9980392156862745
2110,5e-07,0.0005,0.002807468,6,2,196.76080325862415,1,999,0.001001001001001001,0.0,8,2,3535.3029119077446,0.47345971563981043,0.00047393364928909954,0.4710900473933649
1,4.44e-16,4.44e-16,0.00174602,1,1,0.0,0,1,0.0,0.0,1,1,,0.0,0.0,0.0
1,2.97413933724e-07,2.97413933724e-07,0.00223287,1,1,0.0,0,1,0.0,0.0,1,1,,0.0,0.0,0.0
1,4.44e-16,4.44e-16,0.001766308,1,1,0.0,0,1,0.0,0.0,1,1,,0.0,0.0,0.0
1,0.0,0.0,0.002253547,1,1,0.0,0,1,0.0,0.0,1,1,,1.0,0.0,0.0
2,3.526426565505e-07,7.05285312657e-07,0.001739842,2,1,43200.0,0,2,0.0,0.0,2,2,,0.0,0.5,0.0
4942,5.2985327281753695e-05,0.001,0.0023342545,4,2,2125.6548881388335,27,973,0.02774922918807811,0.0,21,4,98.59604317023584,0.006677458518818292,0.0,0.20153783893160665
9,9.686294548894334e-06,8.7176650940049e-05,0.00321363,2,2,0.2995248278964852,1,8,0.125,0.0,1,1,385617.8456169861,0.8888888888888888,0.1111111111111111,0.7777777777777778
372,5.2986495921777945e-05,0.001,0.0022639305,4,2,444.35104794558424,10,362,0.027624309392265192,0.0,22,4,103.74316707521352,0.02956989247311828,0.0,0.989247311827957
58,0.64058453558917,4.50280721,0.002498054,6,5,0.4902462403400105,6,52,0.11538461538461539,0.0,15,9,719638.6880127375,0.4482758620689655,0.017241379310344827,0.896551724137931
2,3.82193966809e-07,6.64387933618e-07,0.002696062,2,1,43200.0,0,2,0.0,0.0,2,2,,0.0,0.5,0.0
2,1.5e-17,3e-17,0.0023027495,2,1,1838.2978723404256,0,2,0.0,0.0,2,2,,0.5,0.5,0.0
1984,6.1e-06,0.0001,0.0079078925,11,1,37.06132565604135,0,1000,0.0,0.0,182,39,28505.13769336036,0.4732862903225806,0.0,0.49848790322580644
909,0.3825491910062485,11.369810720847944,0.009481514,46,7,2.5043083774704336,9,900,0.01,0.0,22,8,179539.11278992452,0.8514851485148515,0.011001100110011002,0.9493949394939494
4,0.0,0.0,0.0022852055,2,1,1898.901098901099,0,4,0.0,0.0,4,4,63.947895456639806,1.0,0.0,0.5
499,0.0,0.0,0.003014805,1,1,813.0652887262853,0,499,0.0,0.0,81,14,176.36131205110303,1.0,0.0,0.9979959919839679
5814,0.097562689058,6.65950757,1.003129245,246,3,265.0164128504547,2,998,0.002004008016032064,0.0,29,13,7939.2334543572315,0.1130030959752322,0.0017199862401100791,0.12968696250429995
2,1.35e-17,2.7e-17,0.0021705125,2,1,1878.2608695652173,0,2,0.0,0.0,2,2,,0.5,0.5,0.0
5346,0.0013994276349317352,0.15,0.003100783,164,4,148.6765725498325,11,989,0.011122345803842264,0.0,37,22,9915.378258550205,0.1447811447811448,0.0018705574261129816,0.15637860082304528
11437,1.996e-05,0.01996,0.0012401205,2,2,3442.023644482838,1,999,0.001001001001001001,0.0,44,11,405.5379906438395,0.08734808079041707,8.74355163067238e-05,0.08726064527411034
815,0.0,0.0,0.003094741,2,1,941.0129627154885,0,815,0.0,0.0,93,20,173.80375138139527,1.0,0.0,0.9975460122699387
906,0.004581211958285179,0.31601729,0.003709508,117,10,3.23448477504996,14,892,0.01569506726457399,0.0,19,9,94657.75667410552,0.8090507726269316,0.011037527593818985,0.8708609271523179
236271,0.0,0.0,0.0260791815,1,1,380131.3619604484,0,1000,0.0,0.0,139,57,220.38098820981034,0.004232428016980501,0.0,0.004228195588963521
82,0.0,0.0,0.00618481,2,1,0.4015541178170936,0,82,0.0,0.0,3,2,274827.4800193953,1.0,0.0,0.975609756097561
1516,0.00784096393552912,0.55,0.0061334875,189,8,5.262862255120469,9,992,0.009072580645161291,0.0006596306068601583,19,13,63243.631250533144,0.37005277044854884,0.006596306068601583,0.5349604221635884
2,2.977522444805e-07,5.95504488073e-07,0.0017392035,2,1,43200.0,0,2,0.0,0.0,2,2,,0.0,0.5,0.0
2,4.8e-17,9.6e-17,0.0022055995,2,1,1878.2608695652173,0,2,0.0,0.0,2,1,,0.5,0.5,0.0
148368,0.0,0.0,0.0020284035,6,1,540612.1457489879,0,1000,0.0,0.0,156,14,1.8463619198066545,0.00673999784320069,0.0,0.006699557856141486
278,0.009414009230669068,0.79,0.2034955875,43,2,0.45308164444763527,3,276,0.010869565217391304,0.0035971223021582736,12,4,1115593.428775136,0.6151079136690647,0.01079136690647482,0.8165467625899281
505,0.0,0.0,0.003060285,1,1,826.7394270122783,0,505,0.0,0.0,75,18,163.59761804654323,1.0,0.0,0.998019801980198
2,3.649654977515e-07,7.29930995493e-07,0.0024865975,2,1,43200.0,0,2,0.0,0.0,2,2,,0.0,0.5,0.0
70,0.0007730235973831804,0.000944063760511146,0.1,5,3,0.20263083710323407,44,26,1.6923076923076923,0.0,11,2,2477124.3002387,0.0,0.014285714285714285,0.9285714285714286
1,4.44e-16,4.44e-16,0.00174602,1,1,0.0,0,1,0.0,0.0,1,1,,0.0,0.0,0.0
2,4.44e-16,8.88e-16,0.001766454,2,1,28800.0,0,2,0.0,0.0,2,2,,0.5,0.5,0.0
2067,0.0008936649144817424,0.002499549823758737,0.0012270225,2,1,462.55503869544043,0,1000,0.0,0.0,20,4,363.0753292040658,0.23947750362844702,0.004837929366231253,0.48282535074987903
2,3.35e-17,6.7e-17,0.0021810125,2,1,1878.2608695652173,0,2,0.0,0.0,2,2,,0.5,0.5,0.0
2,0.029828477658,0.029830956232,0.0017383065,2,2,21600.0,1,1,1.0,0.0,2,2,,0.0,0.5,0.0
15,1.717760555574e-05,0.0002576640833361,0.002555059,3,2,0.04142495450766474,1,14,0.07142857142857142,0.0,4,1,7546981.114020644,0.9333333333333333,0.06666666666666667,0.8
148413,0.0,0.0,0.002022635,6,1,541232.6186054365,0,1000,0.0,0.0,156,14,1.7473894824193628,0.0067379542223390135,0.0,0.006697526497004979
2,3.39323402403e-07,6.78646804796e-07,0.0026994755,2,1,43200.0,0,2,0.0,0.0,2,2,,0.0,0.5,0.0
2,3.526507205505e-07,7.05301440657e-07,0.0017378545,2,1,43200.0,0,2,0.0,0.0,2,2,,0.0,0.5,0.0
1,4.44e-16,4.44e-16,0.001738804,1,1,0.0,0,1,0.0,0.0,1,1,,0.0,0.0,0.0
102,0.0,0.0,0.005972972,2,1,0.499053684852989,0,102,0.0,0.0,3,2,262741.5691808976,1.0,0.0,0.9803921568627451
1,1e-07,1e-07,0.002760117,1,1,0.0,0,1,0.0,0.0,1,1,,0.0,0.0,0.0
2,3.90549479986e-07,7.81098959084e-07,0.001764418,2,1,43200.0,0,2,0.0,0.0,2,2,,0.0,0.5,0.0
169,0.006613191961825906,0.024497,0.005854644,28,4,0.7272107898287308,13,156,0.08333333333333333,0.0,5,3,601440.8444880369,0.33727810650887574,0.011834319526627219,0.834319526627219
2,9.1753333938e-08,1.83506667763e-07,0.0018906965,2,1,12342.857142857143,0,2,0.0,0.0,2,2,,0.0,0.5,0.0
