tx_count,avg_value,max_value,median_gas_price,unique_receivers,unique_senders,tx_per_day,in_tx_count,out_tx_count,in_out_ratio,self_tx_ratio,max_tx_in_1h,max_tx_in_5min,tx_time_std,zero_value_tx_ratio,high_value_tx_ratio,short_time_repeated_tx
2,0.022440223114845326,0.040880446229690656,1.984577433,2,2,436.3636363636364,1,1,1.0,0.0,2,1,,0.0,0.5,0.0
11,0.4422557856496937,2.16859638,2.94466191,4,6,4.058624577226607,6,5,1.2,0.0,4,3,50328.77735848547,0.18181818181818182,0.09090909090909091,0.6363636363636364
1,1e-06,1e-06,0.914463024,1,1,0.0,0,1,0.0,0.0,1,1,,0.0,0.0,0.0
22,0.06806635653166472,0.4445145165879027,18.8981412135,2,11,0.03924074120409124,19,3,6.333333333333333,0.0,2,1,3766893.2508867914,0.0,0.045454545454545456,0.9090909090909091
530,1.8415832204998681,50.0,1.2229647915,65,16,0.35767163079252184,26,504,0.051587301587301584,0.0,33,6,2570743.107874019,0.8641509433962264,0.011320754716981131,0.8773584905660378
19,1.0526315789473685e-07,1e-06,0.5873,2,1,0.7105644520394966,0,19,0.0,0.0,2,2,182453.53210451084,0.8947368421052632,0.0,0.8947368421052632
3,1.2059666666667335e-05,2.2210000000001e-05,0.99023489,2,2,514.2857142857142,2,1,2.0,0.0,3,2,339.4112549695428,0.0,0.3333333333333333,0.3333333333333333
12023,0.004273671911686197,4.0,3.701979432,530,2,543.1771549046553,1,999,0.001001001001001001,0.0,147,26,6109.545201080602,0.0,0.0008317391665973551,0.03909174083007569
96,0.08036441944326665,1.187292023818263,0.85083092,21,61,6.388760513910713,65,31,2.096774193548387,0.0,44,22,32634.114236966125,0.125,0.010416666666666666,0.78125
96,6.029392684059094,155.0,30.123804892,48,37,0.031749124226337584,39,57,0.6842105263157895,0.0,2,2,5302105.4183374075,0.0,0.010416666666666666,0.5
76,0.0035758605245471563,0.0311769673509692,2.4297561955,34,7,0.16867902926944903,16,60,0.26666666666666666,0.0,5,3,1333685.9843730938,0.4605263157894737,0.013157894736842105,0.5526315789473685
49,7.004127559870755,181.0,5.250727523,8,29,0.13574117451513315,37,12,3.0833333333333335,0.0,7,7,2046896.7290321593,0.20408163265306123,0.02040816326530612,0.8367346938775511
186,0.02787904271338692,1.3269039009551171,2.5311383715,12,25,1.4441258520310176,25,161,0.15527950310559005,0.0,5,4,121499.24518677493,0.8118279569892473,0.010752688172043012,0.9354838709677419
1084,0.05370916402900928,2.5,16.395073956,358,21,0.7692266626411137,63,944,0.06673728813559322,0.006457564575645757,8,5,227934.48352047277,0.5922509225092251,0.00922509225092251,0.5922509225092251
107335,3.9196430684117227,232.38417024956698,0.595234182,337,140,9103.365412931573,218,782,0.27877237851662406,0.0,35,31,1858.190994968439,0.0,9.316625518237295e-05,0.006176922718591326
94,1.4764705129832412,10.0,1.661215591,2,4,1.978565539983512,51,43,1.186046511627907,0.0,8,2,331782.85680011555,0.0,0.010638297872340425,0.9787234042553191
2,1.9674729256e-05,3.9349358512e-05,1.869017072,2,2,14400.0,1,1,1.0,0.0,2,2,,0.0,0.5,0.0
706,0.00024620481638184985,0.15,1.2737096595,703,2,179.72633737580878,1,705,0.0014184397163120568,0.0,16,2,231.5206183297696,0.0,0.0113314447592068,0.00424929178470255
451,0.03178643225706754,0.11037857253150524,6.0,2,4,1.3709283150399347,207,244,0.8483606557377049,0.0,8,3,365345.8369551962,0.0,0.011086474501108648,0.9955654101995566
76,0.05013198510979376,0.609538138582264,6.171567279,3,4,0.17885468285815798,14,62,0.22580645161290322,0.0,2,2,1880157.4465989189,0.15789473684210525,0.013157894736842105,0.9605263157894737
50465,0.10270241182716315,21.22308,0.5907605845,294,277,4382.121665299821,478,522,0.9157088122605364,0.0,18,14,1226.1144649739242,0.0024769642326364807,0.00019815713861091845,0.013989893985930844
137713,0.0,0.0,1.440903838,1,1,7303.738297104385,0,1000,0.0,0.0,14,4,1878.1090215126137,0.0072614785822689215,0.0,0.0072542171036866525
2,1.838961135e-05,3.67792227e-05,1.12996,2,2,142.5742574257426,1,1,1.0,0.0,2,1,,0.5,0.5,0.0
1,1e-06,1e-06,0.914463024,1,1,0.0,0,1,0.0,0.0,1,1,,0.0,0.0,0.0
868,0.04585258141018508,0.81131539,8.440759779,258,23,0.6826212502363955,215,655,0.3282442748091603,0.002304147465437788,13,4,1838580.6246578437,0.2304147465437788,0.010368663594470046,0.7027649769585254
1,0.0,0.0,1.84757795,1,1,0.0,0,1,0.0,0.0,1,1,,1.0,0.0,0.0
21,0.009412798037681027,0.1705,2.759175331,13,2,0.046342313382538323,3,18,0.16666666666666666,0.0,5,2,5088624.4945241455,0.6190476190476191,0.047619047619047616,0.38095238095238093
7,0.055206745714285715,0.25,1.877237916,4,2,0.1787221367224346,1,6,0.16666666666666666,0.0,2,1,945095.2969143377,0.5714285714285714,0.14285714285714285,0.42857142857142855
319,10.99298748101083,2000.4133632382275,8.21814854,32,4,1.1862901059851663,3,316,0.00949367088607595,0.0,18,7,313927.15033519914,0.9780564263322884,0.012539184952978056,0.8996865203761756
110887,0.0,0.0,2.5883826405,1,1,39647.73302875304,1000,0,1000.0,0.0,16,2,24.851603477074764,0.00901818968860191,0.0,0.009009171498913308
237,0.6858979762204419,6.383337390091165,12.132418776,4,9,0.6016657934097427,149,88,1.6931818181818181,0.0,3,2,639204.4301804983,0.12236286919831224,0.012658227848101266,0.9831223628691983
5,0.0024895706184129784,0.012422520619643622,0.939394693,4,2,0.2799791571071931,2,4,0.5,0.2,1,1,565976.2662762459,0.2,0.2,0.2
325,0.06814217021194417,1.4473222385902458,9.016163559,21,23,1.6257406151691325,84,241,0.34854771784232363,0.0,5,2,51394.39648352478,0.5815384615384616,0.012307692307692308,0.9353846153846154
10790,0.11580326530394197,1.8,0.9964474745,72,3,1176.5917489549888,2,998,0.002004008016032064,0.0,120,25,5490.390901095842,0.016682113067655237,9.267840593141798e-05,0.08600556070435589
18,0.16199050507188342,0.70984,2.438260877,3,5,0.20672032462747275,6,12,0.5,0.0,3,2,695785.6732644886,0.5555555555555556,0.05555555555555555,0.8333333333333334
4,4.15000000000025e-06,1.3600000000001e-05,0.769554525,2,2,230.39999999999998,1,3,0.3333333333333333,0.0,4,2,563.0204259172131,0.0,0.25,0.5
1,0.020503251880511,0.020503251880511,1.201905597,1,1,0.0,1,0,1.0,0.0,1,1,,0.0,0.0,0.0
6,0.001689837593594454,0.009999549628028011,0.9096603175,5,2,0.2331518131331394,1,5,0.2,0.0,2,1,991147.9669248179,0.3333333333333333,0.16666666666666666,0.16666666666666666
